"","ID","Strain","Age","Weight","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","X","Age.dpc.","Date","Strain","Weight","Litter","Weekday","indata","mediantemps","bornemin","bornemax","nid"
"46","shh_14.5_08_221_FL","FVB",14.5,221,"FL",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"221FL",174,15,"3/13/2014","DUHi",221,"DK",5,TRUE,14.701,14.242,15.168,"221DK"
"216","shh_14.5_28_223_DAF","DUHi",14.5,223,"DAF",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"223DAF",425,14.5,"12/11/14","FVB",221,"FL",5,TRUE,14.638,14.099,15.156,"221FL"
"33","shh_14.5_02_228_DG","DUHi",14.5,228,"DG",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"228DG",102,14.5,"10/29/2015","DUHi",223,"DAF",5,TRUE,14.548,14.125,14.979,"223DAF"
"203","shh_15.0_11_229_FAA","FVB",15,229,"FAA",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","-",227,"229FAA",115,14.5,"12/17/2013","DUHi",228,"DG",3,TRUE,14.515,14.077,14.983,"228DG"
"215","shh_14.5_25_236_DAF","DUHi",14.5,236,"DAF",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"236DAF",492,15,"5/27/2015","FVB",229,"FAA",4,TRUE,14.951,14.454,15.442,"229FAA"
"214","shh_14.0_27_237_DG","DUHi",14,237,"DG",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","y",202,"237DG",108,14.5,"10/29/2015","DUHi",236,"DAF",5,TRUE,14.657,14.211,15.092,"236DAF"
"88","shh_14.5_10_238_DI","DUHi",14.5,238,"DI",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"238DI",116,14.5,"12/17/2013","DUHi",237,"DG",3,TRUE,14.585,14.141,15.035,"237DG"
"204","shh_15.0_13_241_FAA","FVB",15,241,"FAA",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"241FAA",137,14.5,"03/04/14","DUHi",238,"DI",3,TRUE,14.614,14.158,15.07,"238DI"
"112","shh_15.5_06_244_DV","DUHi",15.5,244,"DV",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","y",235,"244DV",494,15,"5/27/2015","FVB",241,"FAA",4,TRUE,15.054,14.547,15.578,"241FAA"
"148","shh_15.0_05_245_DJ","DUHi",15,245,"DJ",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","-",227,"245DJ",223,15.5,"10/23/2014","DUHi",244,"DV",5,TRUE,14.969,14.488,15.43,"244DV"
"37","shh_16.5_01_246_DW","DUHi",16.5,246,"DW",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","Y",235,"246DW",169,15,"1/30/2014","DUHi",245,"DJ",5,TRUE,15.266,14.813,15.705,"245DJ"
"95","shh_14.5_09_246_FL","FVB",14.5,246,"FL",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"246FL",241,16.5,"9/25/2014","DUHi",246,"DW",5,TRUE,15.987,15.428,16.567,"246DW"
"205","shh_15.0_14_248_FAA","FVB",15,248,"FAA",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"248FAA",427,14.5,"12/11/14","FVB",246,"FL",5,TRUE,14.857,14.335,15.369,"246FL"
"206","shh_15.0_15_249_FAA","FVB",15,249,"FAA",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"249FAA",495,15,"5/27/2015","FVB",248,"FAA",4,TRUE,15.103,14.598,15.635,"248FAA"
"49","shh_15.0_05_256_FD","FVB",15,256,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"256FD",496,15,"5/27/2015","FVB",249,"FAA",4,TRUE,15.117,14.612,15.625,"249FAA"
"189","shh_15.5_18_257_DAC","DUHi",15.5,257,"DAC",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"257DAC",537,15,"7/24/2014","FVB",256,"FD",5,TRUE,14.901,14.38,15.434,"256FD"
"207","shh_15.0_16_257_FAA","FVB",15,257,"FAA",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"257FAA",189,15.5,"4/29/2015","DUHi",257,"DAC",4,TRUE,15.022,14.498,15.504,"257DAC"
"208","shh_15.0_17_258_FAA","FVB",15,258,"FAA",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"258FAA",497,15,"5/27/2015","FVB",257,"FAA",4,TRUE,15.184,14.668,15.691,"257FAA"
"93","shh_15.0_06_259_FD","FVB",15,259,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"259FD",498,15,"5/27/2015","FVB",258,"FAA",4,TRUE,15.172,14.668,15.689,"258FAA"
"96","shh_15.0_08_259_FD","FVB",15,259,"FD",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","y",325,"259FD",538,15,"7/24/2014","FVB",259,"FD",5,TRUE,14.909,14.393,15.457,"259FD"
"73","shh_15.0_11_262_DK","DUHi",15,262,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"262DK",539,15,"7/24/2014","FVB",259,"FD",5,TRUE,14.918,14.37,15.437,"259FD"
"103","shh_14.5_11_263_DI","DUHi",14.5,263,"DI",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"263DI",176,15,"3/13/2014","DUHi",262,"DK",5,TRUE,15.004,14.547,15.469,"262DK"
"44","shh_15.0_02_265_DK","DUHi",15,265,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"265DK",142,14.5,"03/04/14","DUHi",263,"DI",3,TRUE,14.785,14.345,15.241,"263DI"
"69","shh_16.5_02_271_DW","DUHi",16.5,271,"DW",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"271DW",177,15,"3/13/2014","DUHi",265,"DK",5,TRUE,15.018,14.559,15.48,"265DK"
"109","shh_15.0_03_273_FD","FVB",15,273,"FD",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","y",325,"273FD",242,16.5,"9/25/2014","DUHi",271,"DW",5,TRUE,16.159,15.577,16.742,"271DW"
"98","shh_15.0_15_285_DK","DUHi",15,285,"DK",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"285DK",540,15,"7/24/2014","FVB",273,"FD",5,TRUE,15.026,14.498,15.567,"273FD"
"94","shh_15.0_07_285_FD","FVB",15,285,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"285FD",179,15,"3/13/2014","DUHi",285,"DK",5,TRUE,15.141,14.696,15.598,"285DK"
"61","shh_15.5_07_290_DV","DUHi",15.5,290,"DV",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","y",325,"290DV",542,15,"7/24/2014","FVB",285,"FD",5,TRUE,15.105,14.593,15.61,"285FD"
"209","shh_14.5_26_290_FW","FVB",14.5,290,"FW",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"290FW",543,15,"7/24/2014","FVB",285,"FD",5,TRUE,15.108,14.576,15.623,"285FD"
"78","shh_15.0_12_293_DK","DUHi",15,293,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"293DK",224,15.5,"10/23/2014","DUHi",290,"DV",5,TRUE,15.265,14.786,15.735,"290DV"
"45","shh_15.0_03_294_DK","DUHi",15,294,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"294DK",471,14.5,"05/12/15","FVB",290,"FW",3,TRUE,14.353,13.866,14.868,"290FW"
"47","shh_15.0_08_294_DK","DUHi",15,294,"DK",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"294DK",180,15,"3/13/2014","DUHi",293,"DK",5,TRUE,15.194,14.751,15.668,"293DK"
"193","shh_14.5_16_310_FW","FVB",14.5,310,"FW",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"310FW",181,15,"3/13/2014","DUHi",294,"DK",5,TRUE,15.204,14.745,15.672,"294DK"
"194","shh_14.5_17_325_FW","FVB",14.5,325,"FW",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"325FW",472,14.5,"05/12/15","FVB",310,"FW",3,TRUE,14.492,13.992,15.009,"310FW"
"197","shh_14.5_20_332_FS","FVB",14.5,332,"FS",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"332FS",475,14.5,"05/12/15","FVB",325,"FW",3,TRUE,14.585,14.093,15.104,"325FW"
"80","shh_15.5_11_340_DV","DUHi",15.5,340,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"340DV",463,14.5,"4/28/2015","FVB",332,"FS",3,TRUE,14.5,13.989,15.046,"332FS"
"195","shh_14.5_18_340_FW","FVB",14.5,340,"FW",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"340FW",226,15.5,"10/23/2014","DUHi",340,"DV",5,TRUE,15.546,15.061,16.032,"340DV"
"198","shh_14.5_21_344_FS","FVB",14.5,344,"FS",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"344FS",478,14.5,"05/12/15","FVB",340,"FW",3,TRUE,14.676,14.176,15.197,"340FW"
"196","shh_14.5_19_349_FW","FVB",14.5,349,"FW",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"349FW",465,14.5,"4/28/2015","FVB",344,"FS",3,TRUE,14.559,14.061,15.104,"344FS"
"186","shh_15.5_17_353_DAC","DUHi",15.5,353,"DAC",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","y",325,"353DAC",480,14.5,"05/12/15","FVB",349,"FW",3,TRUE,14.73,14.226,15.239,"349FW"
"199","shh_14.5_22_353_FS","FVB",14.5,353,"FS",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","y",325,"353FS",190,15.5,"4/29/2015","DUHi",353,"DAC",4,TRUE,15.568,15.077,16.071,"353DAC"
"81","shh_15.5_12_355_DV","DUHi",15.5,355,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"355DV",466,14.5,"4/28/2015","FVB",353,"FS",3,TRUE,14.616,14.084,15.137,"353FS"
"51","shh_15.5_01_359_DN","DUHi",15.5,359,"DN",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"359DN",227,15.5,"10/23/2014","DUHi",355,"DV",5,TRUE,15.621,15.148,16.113,"355DV"
"200","shh_14.5_24_359_FS","FVB",14.5,359,"FS",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","y",325,"359FS",209,15.5,"03/12/14","DUHi",359,"DN",4,TRUE,15.402,14.966,15.842,"359DN"
"62","shh_15.5_08_363_DV","DUHi",15.5,363,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"363DV",468,14.5,"4/28/2015","FVB",359,"FS",3,TRUE,14.647,14.122,15.175,"359FS"
"82","shh_15.5_13_369_DU","DUHi",15.5,369,"DU",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"369DU",229,15.5,"10/23/2014","DUHi",363,"DV",5,TRUE,15.66,15.209,16.151,"363DV"
"83","shh_15.5_14_371_DU","DUHi",15.5,371,"DU",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"371DU",221,15.5,"9/24/2014","DUHi",369,"DU",4,TRUE,16.111,15.672,16.567,"369DU"
"201","shh_14.5_25_373_FS","FVB",14.5,373,"FS",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"373FS",222,15.5,"9/24/2014","DUHi",371,"DU",4,TRUE,16.123,15.677,16.567,"371DU"
"104","shh_15.5_15_399_DN","DUHi",15.5,399,"DN",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"399DN",470,14.5,"4/28/2015","FVB",373,"FS",3,TRUE,14.721,14.203,15.247,"373FS"
"66","shh_16.0_04_424_DO","DUHi",16,424,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"424DO",212,15.5,"03/12/14","DUHi",399,"DN",4,TRUE,15.583,15.125,16.014,"399DN"
"52","shh_15.5_02_426_DN","DUHi",15.5,426,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"426DN",235,16,"3/20/2014","DUHi",424,"DO",5,TRUE,15.991,15.541,16.468,"424DO"
"105","shh_15.5_16_427_DN","DUHi",15.5,427,"DN",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","y",325,"427DN",214,15.5,"03/12/14","DUHi",426,"DN",4,TRUE,15.694,15.244,16.141,"426DN"
"57","shh_15.5_03_442_DN","DUHi",15.5,442,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"442DN",215,15.5,"03/12/14","DUHi",427,"DN",4,TRUE,15.693,15.245,16.14,"427DN"
"71","shh_16.0_07_452_DO","DUHi",16,452,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"452DO",216,15.5,"03/12/14","DUHi",427,"DN",4,TRUE,15.691,15.259,16.137,"427DN"
"65","shh_16.0_01_455_DO","DUHi",16,455,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"455DO",218,15.5,"03/12/14","DUHi",442,"DN",4,TRUE,15.751,15.316,16.185,"442DN"
"63","shh_15.5_09_457_DV","DUHi",15.5,457,"DV",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"457DV",236,16,"3/20/2014","DUHi",452,"DO",5,TRUE,16.102,15.665,16.546,"452DO"
"67","shh_16.0_05_476_DO","DUHi",16,476,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"476DO",237,16,"3/20/2014","DUHi",455,"DO",5,TRUE,16.113,15.649,16.558,"455DO"
"68","shh_16.0_06_481_DO","DUHi",16,481,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"481DO",230,15.5,"10/23/2014","DUHi",457,"DV",5,TRUE,16.06,15.575,16.534,"457DV"
"60","shh_15.5_05_483_DM","DUHi",15.5,483,"DM",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"483DM",238,16,"3/20/2014","DUHi",476,"DO",5,TRUE,16.196,15.751,16.656,"476DO"
"131","shh_13.5_05_67_DQ","DUHi",13.5,67,"DQ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"67DQ",239,16,"3/20/2014","DUHi",481,"DO",5,TRUE,16.216,15.776,16.679,"481DO"
"151","shh_13.5_05_67_DQ","DUHi",13.5,67,"DQ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"67DQ",206,15.5,"03/05/14","DUHi",483,"DM",4,TRUE,15.727,15.269,16.189,"483DM"
"217","shh_13.0_03_86_FX","FVB",13,86,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"86FX",28,13.5,"7/30/2014","DUHi",67,"DQ",4,TRUE,12.862,12.382,13.351,"67DQ"
"218","shh_13.0_04_87_FX","FVB",13,87,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"87FX",276,13,"05/12/15","FVB",86,"FX",3,TRUE,12.75,12.246,13.255,"86FX"
"16","shh_13.5_11_88_FK","FVB",13.5,88,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"88FK",277,13,"05/12/15","FVB",87,"FX",3,TRUE,12.783,12.283,13.263,"87FX"
"168","shh_13.5_07_88_FK","FVB",13.5,88,"FK",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"88FK",293,13.5,"12/10/14","FVB",88,"FK",4,TRUE,13.267,12.739,13.801,"88FK"
"190","shh_13.0_01_90_FX","FVB",13,90,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"90FX",278,13,"05/12/15","FVB",90,"FX",3,TRUE,12.852,12.334,13.36,"90FX"
"165","shh_14.0_12_91_DU","DUHi",14,91,"DU",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"91DU",80,14,"10/14/2014","DUHi",91,"DU",3,TRUE,13.452,13.019,13.888,"91DU"
"219","shh_13.0_05_91_FX","FVB",13,91,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"91FX",279,13,"05/12/15","FVB",91,"FX",3,TRUE,12.87,12.373,13.376,"91FX"
"166","shh_14.0_18_94_DU","DUHi",14,94,"DU",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"94DU",81,14,"10/14/2014","DUHi",94,"DU",3,TRUE,13.517,13.057,13.95,"94DU"
"163","shh_13.5_09_99_DZ","DUHi",13.5,99,"DZ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"99DZ",37,13.5,"11/19/2014","DUHi",99,"DZ",4,TRUE,13.328,12.864,13.774,"99DZ"
