"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"1","shh_13.5_02_154-165_DB","DUHi",13.5,159.5,"DB",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"159.5DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","shh_14.0_02_128_DD","DUHi",14,128,"DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,58
"3","shh_14.0_02_128_DD","DUHi",14,128,"DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,59
"4","shh_14.0_03_141_DD","DUHi",14,141,"DD",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"141DD",14,"1/20/2014","DUHi",141,"DD",2,TRUE,14,4.94875989037817,"DD",-1,5.19004842660187,14.4842362635815,14.0338254715892,5.05251396095436,14.2275021121459,14.1355018032706,13.7739116424515,14.4768317782307,"001",14.0617011650884,14.4246365505824,60
"5","shh_14.0_07_143_DR","DUHi",14,143,"DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DR",14,"7/30/2014","DUHi",143,"DR",4,TRUE,14,4.96284463025991,"DR",-1,4.91933782061152,13.9789036010642,14.0601173085095,4.9441367021111,14.025195414308,14.0428214638934,13.6783510121792,14.403852604832,"001",14.0568433774606,13.9911872406398,74
"6","shh_14.0_06_117_DR","DUHi",14,117,"DR",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"117DR",14,"7/30/2014","DUHi",117,"DR",4,TRUE,14,4.76217393479776,"DR",-1,4.71866712514937,13.6043137084513,13.6855274158967,4.74346600664895,13.6506055216951,13.6702727914276,13.2907741746774,14.0374127075175,"001",13.6837351862112,13.618533529033,72
"7","shh_14.0_09_140_DF","DUHi",14,140,"DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"140DF",14,"7/17/2014","DUHi",140,"DF",5,TRUE,14,4.9416424226093,"DF",-1,5.02437034718343,14.1749667220835,14.0205393687974,4.97721543017618,14.0869431307104,14.0568626882778,13.6944590955125,14.4072631860635,"001",14.0327407437319,14.1559448736792,68
"8","shh_13.5_10_110_DZ","DUHi",13.5,110,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"110DZ",13.5,"11/19/2014","DUHi",110,"DZ",4,TRUE,13.5,4.70048036579242,"DZ",-1.5,4.66510140971196,13.5043231465647,13.5703646745936,4.68526741467782,13.5419668175412,13.5605953936745,13.1901427314416,13.9176716784896,"001",13.5697579163164,13.5164077766534,40
"9","shh_13.5_11_135_DZ","DUHi",13.5,135,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"135DZ",13.5,"11/19/2014","DUHi",135,"DZ",4,TRUE,13.5,4.90527477843843,"DZ",-1.5,4.86989582235798,13.8866107390013,13.9526522670301,4.89006182732384,13.9242544099777,13.9414914200614,13.5859909155108,14.2877749087291,"001",13.9510347746277,13.8975812610603,45
"10","shh_14.0_22_141_DAA","DUHi",14,141,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"141DAA",14,"5/12/2014","DUHi",141,"DAA",2,TRUE,14,4.94875989037817,"DAA",-1,5.02727383910987,14.1803866401559,14.0338254715892,4.9825208883328,14.0968467740729,14.0661371579712,13.7008981045284,14.4091106539761,"001",14.044654802515,14.1560974751214,50
"11","shh_13.5_12_156_DZ","DUHi",13.5,156,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"156DZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","shh_14.0_23_142_DAA","DUHi",14,142,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"142DAA",14,"5/12/2014","DUHi",142,"DAA",2,TRUE,14,4.95582705760126,"DAA",-1,5.03434100633297,14.193578847444,14.0470176788773,4.98958805555589,14.1100389813609,14.0793815929663,13.7142015872632,14.4215006844717,"001",14.0577268780823,14.1692983489622,51
"13","shh_13.5_01_124_FA","FVB",13.5,124,"FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"124FA",13.5,"7/17/2014","FVB",124,"FA",5,TRUE,13.5,4.82028156560504,"FA",-1.5,4.81557628760185,13.3690726135197,13.3792488353592,4.81825829606367,13.3748730599682,13.3810164184477,12.9434439592902,13.78178425299,"001",13.372721196118,13.3739557371256,278
"14","shh_13.5_10_105_FK","FVB",13.5,105,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"105FK",13.5,"12/10/2014","FVB",105,"FK",4,TRUE,13.5,4.65396035015752,"FK",-1.5,4.96383685652918,13.6897194357532,13.0195418034147,4.78720724789734,13.3077181853203,13.1485230685354,12.6777632638912,13.5705288235198,"001",13.0497577576851,13.6096359905839,291
"15","shh_14.0_07_130_FJ","FVB",14,130,"FJ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"130FJ",14,"12/8/2014","FVB",130,"FJ",2,TRUE,14,4.86753445045558,"FJ",-1,5.00520558202987,13.7791886079519,13.4814438254251,4.92673303703253,13.6094740819116,13.5428571466073,13.098090139261,13.9523929174654,"001",13.4896868208095,13.744934375905,370
"16","shh_13.5_11_88_FK","FVB",13.5,88,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"88FK",13.5,"12/10/2014","FVB",88,"FK",4,TRUE,13.5,4.47733681447821,"FK",-1.5,4.78721332084986,13.3077313194458,12.6375536871074,4.61058371221802,12.9257300690129,12.7657744688901,12.271075656088,13.2025474776131,"001",12.6681316707576,13.2294951543455,286
"17","shh_13.5_13_126_FK","FVB",13.5,126,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"126FK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","shh_14.0_17_161_DR","DUHi",14,161,"DR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161DR",14,"7/30/2014","DUHi",161,"DR",4,TRUE,14,5.08140436498446,"DR",-1,5.03789755533607,14.2002178203447,14.2814315277901,5.06269643683566,14.2465096335886,14.2624510701569,13.904603942905,14.6203345662916,"001",14.2778338495974,14.212248900186,77
"19","shh_15.0_06_221_DK","DUHi",15,221,"DK",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"221DK",15,"3/13/2014","DUHi",221,"DK",5,TRUE,15,5.39816270151775,"DK",0,5.28773352222574,14.6665840119429,14.8727210082644,5.35067815442219,14.7840820998462,14.8200306538287,14.4790705430984,15.1695588601704,"001",14.8604144250927,14.6953988049531,174
"20","shh_14.5_14_163_DH","DUHi",14.5,163,"DH",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"163DH",14.5,"1/22/2014","DUHi",163,"DH",4,TRUE,14.5,5.09375020080676,"DH",-0.5,4.89849575203671,13.9399979292057,14.3044773706534,5.00979078783564,14.1477512108309,14.2217559666086,13.8659885561882,14.5801416844042,"001",14.285464014067,13.986907969257,122
"21","shh_14.0_24_177_DAA","DUHi",14,177,"DAA",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"177DAA",14,"5/12/2014","DUHi",177,"DAA",2,TRUE,14,5.17614973257383,"DAA",-1,5.25466368130553,14.604852885081,14.4582917165143,5.20991073052846,14.521313018998,14.4889135054155,14.130846176146,14.8289776267146,"001",14.4678446346214,14.5793259771535,52
"22","shh_15.0_10_242_DK","DUHi",15,242,"DK",0,2,0,1,1,1,"0_2_1_1","227_0_2_1_1","-",227,"242DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","shh_14.5_17_237-241_DH","DUHi",14.5,239,"DH",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","Y",227,"239DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","shh_14.5_10_161_FR","FVB",14.5,161,"FR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161FR",14.5,"3/4/2015","FVB",161,"FR",4,TRUE,14.5,5.08140436498446,"FR",-0.5,5.21787786854864,14.239140254858,13.9439856122344,5.14008797151706,14.0709021085626,13.9997462439673,13.5750582594033,14.4056637213951,"001",13.9546267605957,14.2071658363808,448
"25","shh_14.5_02_228_DG","DUHi",14.5,228,"DG",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"228DG",14.5,"12/17/2013","DUHi",228,"DG",3,TRUE,14.5,5.42934562895444,"DG",-0.5,5.19480158258798,14.4931089302472,14.9309298534222,5.32849168901686,14.742666856457,14.8301071737391,14.4855667370355,15.1903958278311,"001",14.9057195537137,14.5465900192216,115
"26","shh_16.0_04_404_FE","FVB",16,404,"FE",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"404FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","shh_15.0_07_234_DK","DUHi",15,234,"DK",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"234DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","shh_16.5_01_246_DW","DUHi",16.5,246,"DW",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","Y",235,"246DW",16.5,"9/25/2014","DUHi",246,"DW",5,TRUE,16.5,5.50533153593236,"DW",1.5,6.03762547290469,16.0663994888822,15.0727719528349,5.73421792883046,15.5000317933352,15.2891709359239,14.9197506061975,15.6617657703709,"001",15.1290155317227,15.9247867557462,241
"29","shh_13.5_01_101-104_DB","DUHi",13.5,102.5,"DB",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"102.5DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","shh_15.0_02_265_DK","DUHi",15,265,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"265DK",15,"3/13/2014","DUHi",265,"DK",5,TRUE,15,5.57972982598622,"DK",0,5.46930064669421,15.0055134679855,15.211650464307,5.53224527889066,15.1230115558887,15.1565141339173,14.8190779674418,15.5118683656832,"001",15.1987892875997,15.0338293295489,177
"31","shh_15.0_03_294_DK","DUHi",15,294,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"294DK",15,"3/13/2014","DUHi",294,"DK",5,TRUE,15,5.68357976733868,"DK",0,5.57315058804667,15.1993690695195,15.4055060658411,5.63609522024312,15.3168671574228,15.3490459470138,15.0112238113696,15.7091943597936,"001",15.3925807063653,15.2272980785499,181
"32","shh_14.5_08_221_FL","FVB",14.5,221,"FL",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"221FL",14.5,"12/11/2014","FVB",221,"FL",5,TRUE,14.5,5.39816270151775,"FL",-0.5,5.40269400122337,14.6388467045794,14.629046749934,5.40011116039117,14.6332607304315,14.638639396884,14.2278381783004,15.0343839176771,"001",14.6242325644258,14.6397977066538,418
"33","shh_15.0_08_294_DK","DUHi",15,294,"DK",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"294DK",15,"3/13/2014","DUHi",294,"DK",5,TRUE,15,5.68357976733868,"DK",0,5.57315058804667,15.1993690695195,15.4055060658411,5.63609522024312,15.3168671574228,15.3490459470138,15.0112238113696,15.7091943597936,"001",15.3925807063653,15.2272980785499,181
"34","shh_16.0_03_437_FE","FVB",16,437,"FE",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"437FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","shh_15.0_05_256_FD","FVB",15,256,"FD",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"256FD",15,"7/24/2014","FVB",256,"FD",5,TRUE,15,5.54517744447956,"FD",0,5.50593111588365,14.8621201817546,14.9469991933465,5.52830152318332,14.910501218362,14.9335710539563,14.5313503011266,15.3255567685555,"001",14.9339637442606,14.8694257438098,530
"36","shh_15.5_01_359_DN","DUHi",15.5,359,"DN",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"359DN",15.5,"3/12/2014","DUHi",359,"DN",4,TRUE,15.5,5.88332238848828,"DN",0.5,5.65857116392765,15.3588227668942,15.778363531822,5.78667936192721,15.597961002903,15.68070650362,15.3324813304552,16.059471746511,"001",15.7516056907717,15.4096226969972,209
"37","shh_15.5_02_426_DN","DUHi",15.5,426,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"426DN",15.5,"3/12/2014","DUHi",426,"DN",4,TRUE,15.5,6.05443934626937,"DN",0.5,5.82968812170875,15.6782450058606,16.0977857707884,5.9577963197083,15.9173832418694,15.9985050518057,15.645888513252,16.3893139563093,"001",16.0704042869631,15.7280232374226,214
"38","shh_15.5_03_442_DN","DUHi",15.5,442,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"442DN",15.5,"3/12/2014","DUHi",442,"DN",4,TRUE,15.5,6.0913098820777,"DN",0.5,5.86655865751707,15.7470708501983,16.1666116151261,5.99466685551663,15.9862090862072,16.066460675715,15.7127959288168,16.4598879902119,"001",16.1391119020036,15.7966321208435,218
"39","shh_15.5_04_457_DN","DUHi",15.5,457,"DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"457DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","shh_15.5_05_483_DM","DUHi",15.5,483,"DM",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"483DM",15.5,"3/5/2014","DUHi",483,"DM",4,TRUE,15.5,6.18001665365257,"DM",0.5,5.83096000790682,15.6806192225506,16.3321996197012,6.0299222959819,16.0520200489264,16.1792413642875,15.8284438954545,16.5704844626155,"001",16.2943601651065,15.7646552414199,206
"41","shh_15.5_07_290_DV","DUHi",15.5,290,"DV",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","y",325,"290DV",15.5,"10/23/2014","DUHi",290,"DV",5,TRUE,15.5,5.66988092298052,"DV",0.5,5.5857125724754,15.2228183947303,15.3799345760666,5.63368853226332,15.312374618092,15.3356298371534,14.9980896160235,15.6936384995725,"001",15.3711392133195,15.2444787467579,224
"42","shh_15.5_08_363_DV","DUHi",15.5,363,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"363DV",15.5,"10/23/2014","DUHi",363,"DV",5,TRUE,15.5,5.89440283426485,"DV",0.5,5.81023448375973,15.6419311029588,15.7990472842951,5.85821044354765,15.7314873263205,15.7516387836274,15.412198650566,16.1246855373034,"001",15.78996508446,15.6618953097931,229
"43","shh_15.5_09_457_DV","DUHi",15.5,457,"DV",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"457DV",15.5,"10/23/2014","DUHi",457,"DV",5,TRUE,15.5,6.12468339089421,"DV",0.5,6.04051504038909,16.0717934143439,16.2289095956803,6.088491000177,16.1613496377056,16.1793109119405,15.8281534491403,16.569390044082,"001",16.2201206450666,16.0904050459822,230
"44","shh_16.0_01_455_DO","DUHi",16,455,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"455DO",16,"3/20/2014","DUHi",455,"DO",5,TRUE,16,6.12029741895095,"DO",1,6.05749424506875,16.1034883184901,16.2207223476347,6.09329205418161,16.1703117151025,16.1898510725467,15.8238143423301,16.5691304735832,"001",16.2152278327364,16.1158311361133,237
"45","shh_16.0_04_424_DO","DUHi",16,424,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"424DO",16,"3/20/2014","DUHi",424,"DO",5,TRUE,16,6.04973345523196,"DO",1,5.98693028134976,15.9717673039644,16.0890013331091,6.02272809046261,16.0385907005769,16.0585753685697,15.6955532358393,16.4325957667736,"001",16.0835963305044,15.984927638205,235
"46","shh_16.0_05_476_DO","DUHi",16,476,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"476DO",16,"3/20/2014","DUHi",476,"DO",5,TRUE,16,6.16541785423142,"DO",1,6.10261468034922,16.1877141640598,16.3049481932044,6.13841248946208,16.2545375606722,16.2734730017753,15.9048271748478,16.6564719518428,"001",16.2992855670838,16.1995948591604,238
"47","shh_16.0_06_481_DO","DUHi",16,481,"DO",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"481DO",16,"3/20/2014","DUHi",481,"DO",5,TRUE,16,6.17586727010576,"DO",1,6.11306409622357,16.2072199796011,16.3244540087457,6.14886190533642,16.2740433762135,16.2928237328352,15.9235462629761,16.6767740449215,"001",16.3186555872665,16.219021923649,239
"48","shh_16.5_02_271_DW","DUHi",16.5,271,"DW",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"271DW",16.5,"9/25/2014","DUHi",271,"DW",5,TRUE,16.5,5.6021188208797,"DW",1.5,6.13441275785203,16.247071303425,15.2534437673777,5.8310052137778,15.6807036078781,15.4687541682157,15.0977330260082,15.8462166352106,"001",15.3088827530566,16.1052726666302,242
"49","shh_15.5_10_380_DJ","DUHi",15.5,380,"DJ",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"380DJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","shh_16.0_07_452_DO","DUHi",16,452,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"452DO",16,"3/20/2014","DUHi",452,"DO",5,TRUE,16,6.11368217983223,"DO",1,6.05087900595004,16.0911397206772,16.2083737498218,6.08667681506289,16.1579631172896,16.1775000211026,15.8118672359302,16.5562745375882,"001",16.2029461063521,16.1034638404015,236
"51","shh_14.5_13_211-216_DH","DUHi",14.5,213.5,"DH",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"213.5DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","shh_15.0_11_262_DK","DUHi",15,262,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"262DK",15,"3/13/2014","DUHi",262,"DK",5,TRUE,15,5.5683445037611,"DK",0,5.45791532446908,14.9842606058281,15.1903976021497,5.52085995666553,15.1017586937314,15.1356046664669,14.7978200488322,15.4900936984556,"001",15.1775715109303,15.0125863456176,176
"53","shh_14.5_18_237-241_DH","DUHi",14.5,239,"DH",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","-",227,"239DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","shh_16.0_08_456_DO","DUHi",16,456,"DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"456DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","shh_15.0_12_293_DK","DUHi",15,293,"DK",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"293DK",15,"3/13/2014","DUHi",293,"DK",5,TRUE,15,5.68017260901707,"DK",0,5.56974342972506,15.1930089626446,15.3991459589661,5.6326880619215,15.3105070505479,15.342839793322,15.0051419968353,15.7029440944776,"001",15.3862193328448,15.2209106763868,180
"56","shh_14.5_06_287_DP","DUHi",14.5,287,"DP",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"287DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","shh_15.5_11_340_DV","DUHi",15.5,340,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"340DV",15.5,"10/23/2014","DUHi",340,"DV",5,TRUE,15.5,5.82894561761021,"DV",0.5,5.74477726710509,15.5197427998738,15.6768589812101,5.79275322689301,15.6092990232355,15.6304727381918,15.2912675749115,15.9973761301206,"001",15.6676757066188,15.5398727887036,226
"58","shh_15.5_12_355_DV","DUHi",15.5,355,"DV",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"355DV",15.5,"10/23/2014","DUHi",355,"DV",5,TRUE,15.5,5.87211778947542,"DV",0.5,5.7879494389703,15.6003318424623,15.7574480237986,5.83592539875821,15.689888065824,15.7103253400738,15.3719816301383,16.0813913554398,"001",15.7482975923344,15.6204291725731,227
"59","shh_15.5_13_369_DU","DUHi",15.5,369,"DU",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"369DU",15.5,"9/24/2014","DUHi",369,"DU",4,TRUE,15.5,5.91079664404053,"DU",0.5,6.04104433239165,16.0727814382004,15.8296494378843,5.96680315003151,15.9341961980202,15.8764943882493,15.5213214316539,16.2605343326674,"001",15.841435916794,16.0345317173601,221
"60","shh_15.5_14_371_DU","DUHi",15.5,371,"DU",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"371DU",15.5,"9/24/2014","DUHi",371,"DU",4,TRUE,15.5,5.91620206260743,"DU",0.5,6.04644975095856,16.0828716766173,15.8397396763013,5.97220856859842,15.9442864364372,15.8865280096579,15.531082971242,16.2712842668072,"001",15.851578063856,16.0446577149218,222
"61","shh_14.5_19_331_DP","DUHi",14.5,331,"DP",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"331DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","shh_14.5_12_196-199_DH","DUHi",14.5,197.5,"DH",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"197.5DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","shh_14.0_05_220_DE","DUHi",14,220,"DE",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"220DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
